cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,percent,used,active,buffers,cached,shared,value
3.9,0,0,0,0,0,0,0,51.4,1594904576,834187264,396984320,3135877120,1332359168,0
3.8,1.9,0,1.9,1.9,5.6,1.9,0,51.4,1594847232,834187264,396984320,3135877120,1332359168,0
0,3.9,0,0,0,0,0,0,51.4,1594847232,834187264,396984320,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1594847232,834187264,396984320,3135877120,1332359168,0
0,3.8,0,0,0,0,1.9,0,51.4,1594847232,834187264,396984320,3135877120,1332359168,0
0,3.8,0,0,1.9,0,0,0,51.4,1594847232,834187264,396984320,3135877120,1332359168,0
0,2,0,0,0,0,0,0,51.4,1594847232,834187264,396992512,3135868928,1332359168,0
1.9,3.8,1.9,0,0,0,1.9,0,51.4,1594847232,834187264,396992512,3135868928,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1594839040,834203648,396992512,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1594839040,834203648,396992512,3135877120,1332359168,0
1.9,3.8,0,0,0,0,0,0,51.4,1594839040,834203648,396992512,3135877120,1332359168,0
0,3.8,0,0,0,0,1.9,0,51.4,1594839040,834203648,396992512,3135877120,1332359168,0
1.9,3.9,0,0,3.7,0,1.9,0,51.4,1594839040,834203648,396992512,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1594839040,834203648,396992512,3135877120,1332359168,0
0,5.7,0,0,0,0,0,0,51.4,1594839040,834203648,396992512,3135877120,1332359168,0
0,3.8,0,0,1.9,0,1.9,0,51.4,1594839040,834203648,396992512,3135877120,1332359168,0
0,3.8,0,0,1.9,0,0,0,51.4,1594839040,834203648,397000704,3135868928,1332359168,0
0,3.8,1.9,0,0,0,0,0,51.4,1594839040,834203648,397000704,3135868928,1332359168,0
1.9,5.8,1.9,1.9,1.9,1.9,1.9,1.9,51.4,1594830848,834203648,397000704,3135877120,1332359168,0
1.9,3.8,0,1.9,1.9,0,0,0,51.4,1594830848,834203648,397000704,3135877120,1332359168,0
0,3.8,1.9,0,1.9,0,1.9,0,51.4,1594830848,834203648,397000704,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1594830848,834203648,397000704,3135877120,1332359168,0
0,2,0,0,0,0,1.9,0,51.4,1594830848,834203648,397000704,3135877120,1332359168,0
0,5.7,0,0,1.9,0,2,0,51.4,1594830848,834203648,397000704,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1594830848,834203648,397000704,3135877120,1332359168,0
0,3.8,1.9,0,0,0,0,1.9,51.4,1594830848,834203648,397000704,3135877120,1332359168,0
0,2,0,0,0,0,0,0,51.4,1594826752,834215936,397008896,3135873024,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1595084800,834215936,397008896,3135873024,1332359168,0
0,2,0,0,2,0,0,0,51.4,1595084800,834215936,397008896,3135873024,1332359168,0
0,2,0,0,1.9,0,0,0,51.4,1595084800,834215936,397008896,3135873024,1332359168,0
1.9,2,0,0,0,0,1.9,0,51.4,1595084800,834215936,397008896,3135873024,1332359168,0
1.9,3.8,1.9,0,0,0,1.9,0,51.4,1595084800,834215936,397008896,3135873024,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1595084800,834215936,397008896,3135873024,1332359168,0
0,3.8,0,0,1.9,0,1.9,0,51.4,1595084800,834215936,397008896,3135873024,1332359168,0
0,2,0,0,0,0,0,0,51.4,1595084800,834215936,397008896,3135873024,1332359168,0
0,2,0,0,0,0,0,0,51.4,1595084800,834215936,397008896,3135873024,1332359168,0
0,3.8,0,0,0,0,1.9,0,51.4,1595084800,834215936,397008896,3135873024,1332359168,0
0,3.8,1.9,0,0,0,1.9,0,51.4,1595084800,834215936,397008896,3135873024,1332359168,0
0,3.8,0,0,0,0,1.9,0,51.4,1595084800,834215936,397008896,3135873024,1332359168,0
0,3.8,0,0,1.9,0,0,0,51.4,1595072512,834215936,397017088,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1595072512,834215936,397017088,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1595072512,834215936,397017088,3135877120,1332359168,0
3.8,3.8,0,1.9,0,0,1.9,0,51.4,1595072512,834215936,397017088,3135877120,1332359168,0
0,2,1.9,0,0,0,0,0,51.4,1595072512,834215936,397017088,3135877120,1332359168,0
0,0,2,0,0,0,2,0,51.4,1595072512,834215936,397017088,3135877120,1332359168,0
0,2,0,0,1.9,0,0,1.9,51.4,1595072512,834215936,397017088,3135877120,1332359168,0
0,3.8,0,0,0,0,1.9,0,51.4,1595072512,834215936,397017088,3135877120,1332359168,0
0,3.8,0,0,0,0,1.9,0,51.4,1595072512,834215936,397017088,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1595072512,834215936,397025280,3135868928,1332359168,0
0,2,0,0,1.9,1.9,0,0,51.4,1595064320,834228224,397025280,3135877120,1332359168,0
2,0,0,1.9,0,0,0,0,51.4,1595064320,834228224,397025280,3135877120,1332359168,0
